leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00459_0000000014,ABRAND00459,1,0.004641809843474714,53.03,-115.84,repaired,360,0,True,unknown,2018-06-30,2019-06-25,natural,1.0,natural,2019-06-25,False,2019-06-25,0.0,0.8161911611923599,647.4785485751851,0.9912267200886848
ABRAND00099_0000000009,ABRAND00099,2,0.004637889100157197,54.69,-119.47,repaired,360,0,True,unknown,2017-07-13,2018-07-08,natural,1.0,natural,2018-07-08,False,2018-07-08,0.0,0.8162710780787981,647.4831864642853,0.9912338202460739
ABRAND01132_0000000006,ABRAND01132,1,0.004636957982961701,50.55,-110.71,repaired,360,165,True,unknown,2016-07-20,2017-07-14,natural,1.0,natural,2017-07-14,False,2017-07-14,0.0,0.8163509949652361,647.4878234222682,0.9912409189780129
ABRAND01014_0000000025,ABRAND01014,3,0.004636116255858042,52.88,-113.8,repaired,360,0,True,unknown,2020-10-25,2021-10-20,natural,1.0,natural,2021-10-20,False,2021-10-20,0.0,0.8164309118516743,647.492459538524,0.9912480164213496
ABRAND01111_0000000008,ABRAND01111,3,0.004635888181586535,50.19,-110.98,repaired,360,0,True,unknown,2017-02-07,2018-02-02,natural,1.0,natural,2018-02-02,False,2018-02-02,0.0,0.8165108287381123,647.4970954267056,0.9912551135155268
ABRAND00349_0000000010,ABRAND00349,2,0.004635380874568831,53.94,-116.17,repaired,360,0,True,unknown,2017-08-24,2018-08-19,natural,1.0,natural,2018-08-19,False,2018-08-19,0.0,0.8165907456245505,647.5017308075802,0.9912622098330662
ABRAND00380_0000000005,ABRAND00380,1,0.004635101135643831,53.34,-116.03,repaired,360,260,True,unknown,2016-04-16,2017-04-10,natural,1.0,natural,2017-04-10,False,2017-04-10,0.0,0.8166706625109885,647.5063659087158,0.9912693057223525
ABRAND00739_0000000019,ABRAND00739,2,0.004633246785535475,53.09,-114.75,repaired,360,0,True,unknown,2019-01-25,2020-01-20,natural,1.0,natural,2020-01-20,False,2020-01-20,0.0,0.8167505793974267,647.5109991555013,0.9912763987728089
ABRAND00864_0000000027,ABRAND00864,1,0.0046325630808295324,53.07,-114.33,repaired,360,0,True,unknown,2020-12-04,2021-11-29,natural,1.0,natural,2021-11-29,False,2021-11-29,0.0,0.8168304962838647,647.5156317185821,0.9912834907765801
ABRAND00498_0000000027,ABRAND00498,1,0.004628904736891958,53.05,-115.72,repaired,360,0,True,unknown,2020-06-14,2021-06-09,natural,1.0,natural,2021-06-09,False,2021-06-09,0.0,0.8169104131703029,647.520260623319,0.9912905771797823
ABRAND01155_0000000019,ABRAND01155,4,0.004626469408615,55.28,-110.49,repaired,360,0,True,unknown,2019-05-28,2020-05-22,natural,1.0,natural,2020-05-22,False,2020-05-22,0.0,0.8169903300567409,647.5248870927277,0.9912976598547336
ABRAND00597_0000000004,ABRAND00597,2,0.004624476378772551,53.29,-115.34,repaired,360,0,True,unknown,2017-05-05,2018-04-30,natural,1.0,natural,2018-04-30,False,2018-04-30,0.0,0.8170702469431791,647.5295115691065,0.99130473947855
ABRAND00227_0000000016,ABRAND00227,1,0.004618581099621761,54.49,-118.63,repaired,360,0,True,unknown,2018-11-08,2019-11-03,natural,1.0,natural,2019-11-03,False,2019-11-03,0.0,0.8171501638296171,647.5341301502061,0.991311810077267
ABRAND00694_0000000004,ABRAND00694,4,0.004615029808456542,52.1,-115.0,repaired,360,0,True,unknown,2017-04-08,2018-04-03,natural,1.0,natural,2018-04-03,False,2018-04-03,0.0,0.8172300807160553,647.5387451800145,0.9913188752393024
ABRAND00996_0000000014,ABRAND00996,1,0.004604589431916863,52.74,-113.98,repaired,360,0,True,unknown,2017-10-23,2018-10-18,natural,1.0,natural,2018-10-18,False,2018-10-18,0.0,0.8173099976024933,647.5433497694464,0.9913259244181362
